Open,High,Low,Close,Adj Close,Volume,Date,company
63.009998,63.630001,61.330002,62.450001,62.080929,161100,2021-07-06,AAON
62.369999,64.220001,62.290001,63.389999,63.015369,109600,2021-07-07,AAON
62.18,63.720001,61.919998,62.73,62.359272,154100,2021-07-08,AAON
63.290001,63.810001,62.209999,63.169998,62.796669,82800,2021-07-09,AAON
63.119999,63.369999,61.990002,62.66,62.289684,92200,2021-07-12,AAON
62.25,62.900002,61.52,61.52,61.156422,76600,2021-07-13,AAON
61.700001,61.970001,60.869999,61.220001,60.858196,81600,2021-07-14,AAON
61.220001,61.610001,60.669998,60.970001,60.609676,92000,2021-07-15,AAON
61.509998,61.740002,60.68,60.75,60.390972,94900,2021-07-16,AAON
60.389999,61.529999,60.02,61.07,60.70908,124400,2021-07-19,AAON
60.939999,62.849998,60.810001,61.419998,61.057011,171300,2021-07-20,AAON
61.84,62.560001,61.400002,61.779999,61.414883,95800,2021-07-21,AAON
61.810001,62.029999,59.990002,60.09,59.734875,84900,2021-07-22,AAON
60.290001,60.759998,59.75,60.650002,60.291565,112300,2021-07-23,AAON
60.709999,60.720001,59.830002,60.0,59.645405,104700,2021-07-26,AAON
59.689999,60.66,59.220001,59.869999,59.516171,210500,2021-07-27,AAON
60.25,61.43,59.41,60.84,60.480438,96500,2021-07-28,AAON
61.139999,62.189999,60.66,62.110001,61.742939,71600,2021-07-29,AAON
61.880001,62.900002,61.880001,62.150002,61.7827,120500,2021-07-30,AAON
62.389999,63.279999,61.610001,61.84,61.474529,101900,2021-08-02,AAON
62.040001,63.48,61.59,62.98,62.607792,193700,2021-08-03,AAON
62.580002,63.32,61.610001,62.080002,61.713116,94100,2021-08-04,AAON
62.48,63.610001,62.290001,63.23,62.856316,110800,2021-08-05,AAON
65.0,68.019997,64.980003,67.25,66.852562,214800,2021-08-06,AAON
67.43,69.290001,67.309998,68.550003,68.144882,208300,2021-08-09,AAON
68.870003,70.57,68.339996,70.150002,69.73542,184400,2021-08-10,AAON
70.489998,70.5,68.940002,69.32,68.910324,138600,2021-08-11,AAON
69.260002,69.839996,68.800003,69.269997,68.860619,95900,2021-08-12,AAON
69.110001,69.110001,67.739998,68.970001,68.562393,102500,2021-08-13,AAON
68.519997,69.610001,67.809998,69.339996,68.930206,87400,2021-08-16,AAON
68.660004,68.779999,67.580002,68.07,67.667709,94500,2021-08-17,AAON
68.07,68.519997,67.040001,67.040001,66.643799,53400,2021-08-18,AAON
66.599998,68.690002,66.580002,68.419998,68.01564,139300,2021-08-19,AAON
69.07,69.769997,68.120003,68.940002,68.53257,123500,2021-08-20,AAON
68.940002,69.889999,68.5,69.190002,68.781097,86500,2021-08-23,AAON
69.260002,69.540001,68.769997,68.949997,68.542511,87700,2021-08-24,AAON
68.760002,69.529999,68.339996,68.480003,68.075294,80400,2021-08-25,AAON
68.309998,68.309998,67.239998,67.389999,66.99173,116900,2021-08-26,AAON
67.529999,68.870003,67.260002,68.720001,68.313873,180100,2021-08-27,AAON
69.089996,69.339996,68.470001,69.199997,68.791031,162700,2021-08-30,AAON
69.0,69.0,68.019997,68.110001,67.707481,116200,2021-08-31,AAON
68.25,68.489998,66.5,67.489998,67.091141,115400,2021-09-01,AAON
67.68,68.360001,67.519997,68.160004,67.757187,88300,2021-09-02,AAON
67.889999,68.440002,67.0,67.209999,66.81279,97600,2021-09-03,AAON
66.959999,66.959999,64.43,64.709999,64.327568,182800,2021-09-07,AAON
64.410004,65.449997,64.07,64.910004,64.52639,147900,2021-09-08,AAON
64.879997,65.279999,64.050003,64.669998,64.287804,132100,2021-09-09,AAON
64.809998,65.389999,64.309998,65.07,64.68544,251800,2021-09-10,AAON
65.489998,65.900002,64.230003,65.019997,64.635735,295500,2021-09-13,AAON
65.269997,65.800003,64.25,65.419998,65.033371,172200,2021-09-14,AAON
65.510002,66.099998,64.989998,65.32,64.933968,151700,2021-09-15,AAON
65.629997,65.629997,64.449997,65.019997,64.635735,91700,2021-09-16,AAON
65.279999,66.07,64.830002,66.0,65.609947,474500,2021-09-17,AAON
65.010002,65.839996,64.769997,65.669998,65.281898,211700,2021-09-20,AAON
66.220001,66.220001,65.0,65.239998,64.854431,82000,2021-09-21,AAON
65.660004,66.519997,65.440002,65.879997,65.490654,102800,2021-09-22,AAON
66.230003,68.150002,66.050003,68.080002,67.67765,225100,2021-09-23,AAON
67.93,67.989998,66.860001,66.879997,66.484741,108000,2021-09-24,AAON
66.910004,67.989998,66.800003,67.300003,66.902267,153600,2021-09-27,AAON
67.269997,67.269997,65.910004,66.169998,65.778938,131000,2021-09-28,AAON
66.260002,67.010002,66.18,66.279999,65.88829,92400,2021-09-29,AAON
66.580002,68.559998,65.209999,65.339996,64.953842,94100,2021-09-30,AAON
