Open,High,Low,Close,Adj Close,Volume,Date,company
58.09,58.09,55.91,56.32,56.107456,176400,2021-07-06,ACA
56.009998,56.540001,54.880001,55.540001,55.330402,176700,2021-07-07,ACA
54.290001,55.349998,53.709999,54.630001,54.42384,199400,2021-07-08,ACA
55.619999,56.73,55.619999,56.009998,55.798626,109500,2021-07-09,ACA
55.400002,56.580002,55.139999,56.360001,56.147308,126900,2021-07-12,ACA
55.810001,56.25,55.16,55.360001,55.151085,103800,2021-07-13,ACA
55.779999,56.380001,54.470001,54.540001,54.383293,109300,2021-07-14,ACA
53.959999,54.84,53.66,53.860001,53.70525,141100,2021-07-15,ACA
54.5,54.75,52.490002,52.799999,52.648293,311500,2021-07-16,ACA
51.720001,51.990002,49.93,51.799999,51.651165,333800,2021-07-19,ACA
52.099998,54.32,51.91,53.119999,52.967373,344600,2021-07-20,ACA
53.650002,54.714001,53.57,53.580002,53.426056,182400,2021-07-21,ACA
53.41,53.529999,52.09,52.110001,51.960278,225100,2021-07-22,ACA
52.630001,52.700001,51.77,52.59,52.438896,138100,2021-07-23,ACA
53.060001,53.810001,52.439999,52.73,52.578495,177500,2021-07-26,ACA
52.040001,53.610001,52.040001,53.540001,53.386166,223300,2021-07-27,ACA
53.84,55.439999,53.18,54.689999,54.53286,158600,2021-07-28,ACA
54.990002,55.560001,54.599998,55.099998,54.941685,97800,2021-07-29,ACA
55.0,55.880001,54.540001,54.759998,54.602661,163000,2021-07-30,ACA
54.91,56.439999,53.52,53.639999,53.485882,144400,2021-08-02,ACA
54.119999,54.439999,53.02,53.849998,53.695274,250800,2021-08-03,ACA
52.900002,53.299999,51.580002,52.099998,51.950302,392600,2021-08-04,ACA
50.380001,52.099998,50.380001,51.419998,51.272255,468700,2021-08-05,ACA
52.130001,52.48,51.049999,51.360001,51.212429,208900,2021-08-06,ACA
50.790001,51.41,50.279999,50.299999,50.155476,139000,2021-08-09,ACA
50.099998,50.619999,49.290001,50.32,50.175415,1132800,2021-08-10,ACA
51.130001,52.080002,50.450001,51.130001,50.983093,1158800,2021-08-11,ACA
51.5,52.0,50.5,51.169998,51.022976,374600,2021-08-12,ACA
50.869999,51.125,50.5,50.880001,50.733814,129500,2021-08-13,ACA
50.34,50.904999,49.490002,50.439999,50.295074,225500,2021-08-16,ACA
49.759998,50.07,48.77,49.169998,49.028721,189700,2021-08-17,ACA
48.919998,49.669998,48.869999,49.380001,49.238125,281800,2021-08-18,ACA
48.810001,49.290001,48.509998,48.900002,48.759499,242400,2021-08-19,ACA
48.970001,50.599998,48.889999,50.57,50.424702,328000,2021-08-20,ACA
50.810001,51.310001,50.360001,51.119999,50.973122,243800,2021-08-23,ACA
51.16,51.34,50.470001,51.32,51.17255,141900,2021-08-24,ACA
51.439999,52.5,51.139999,51.939999,51.790764,226100,2021-08-25,ACA
52.049999,52.049999,51.068001,51.130001,50.983093,187200,2021-08-26,ACA
