Open,High,Low,Close,Adj Close,Volume,Date,company
20.540001,20.66,19.59,20.110001,19.765102,350300,2021-07-06,ADTN
20.110001,20.43,19.219999,19.42,19.086935,270000,2021-07-07,ADTN
18.93,19.33,18.24,19.18,18.851051,190300,2021-07-08,ADTN
19.24,19.799999,19.209999,19.700001,19.362135,114900,2021-07-09,ADTN
19.66,19.9,19.299999,19.48,19.145906,129500,2021-07-12,ADTN
19.41,19.41,19.02,19.209999,18.880535,185500,2021-07-13,ADTN
19.540001,20.040001,19.280001,19.67,19.332647,371900,2021-07-14,ADTN
19.41,19.549999,18.98,19.15,18.821566,145900,2021-07-15,ADTN
19.32,19.32,18.440001,18.459999,18.143402,151800,2021-07-16,ADTN
18.01,19.200001,17.530001,19.190001,18.860882,479800,2021-07-19,ADTN
19.309999,20.67,19.18,20.43,20.079615,517400,2021-07-20,ADTN
20.26,21.469999,19.940001,21.43,21.062464,386100,2021-07-21,ADTN
21.200001,21.43,20.27,21.290001,20.924864,438300,2021-07-22,ADTN
21.370001,22.190001,21.32,22.15,21.770113,305100,2021-07-23,ADTN
22.25,22.889999,22.16,22.76,22.369652,484500,2021-07-26,ADTN
22.68,22.719999,22.049999,22.309999,21.927372,576300,2021-07-27,ADTN
22.35,22.559999,21.700001,22.049999,21.671831,327400,2021-07-28,ADTN
22.290001,22.809999,22.190001,22.6,22.212399,200300,2021-07-29,ADTN
22.370001,22.59,22.08,22.41,22.025656,291200,2021-07-30,ADTN
22.450001,22.629999,21.59,21.709999,21.33766,313300,2021-08-02,ADTN
21.700001,22.25,21.280001,22.129999,21.750458,419400,2021-08-03,ADTN
21.889999,22.41,21.73,21.99,21.61286,344900,2021-08-04,ADTN
22.5,22.5,20.709999,21.700001,21.327833,559900,2021-08-05,ADTN
22.450001,23.58,22.450001,23.530001,23.126446,579500,2021-08-06,ADTN
23.629999,24.360001,23.379999,23.610001,23.205076,465600,2021-08-09,ADTN
23.52,23.799999,23.209999,23.469999,23.067474,233600,2021-08-10,ADTN
23.549999,23.549999,23.08,23.35,22.949535,237400,2021-08-11,ADTN
23.42,23.48,22.92,23.440001,23.037991,252600,2021-08-12,ADTN
23.459999,23.469999,23.01,23.41,23.008507,221700,2021-08-13,ADTN
23.299999,23.91,23.030001,23.799999,23.391815,275100,2021-08-16,ADTN
23.59,23.620001,22.969999,23.190001,22.79228,215500,2021-08-17,ADTN
23.1,23.450001,22.870001,23.030001,22.723211,220000,2021-08-18,ADTN
22.809999,23.280001,22.58,22.879999,22.575209,323000,2021-08-19,ADTN
22.809999,22.959999,22.4,22.799999,22.496273,252800,2021-08-20,ADTN
22.99,23.809999,22.99,23.48,23.167215,309300,2021-08-23,ADTN
23.48,23.77,23.17,23.51,23.196815,215600,2021-08-24,ADTN
23.540001,23.879999,23.459999,23.57,23.256018,234500,2021-08-25,ADTN
23.629999,24.049999,23.389999,23.75,23.43362,207200,2021-08-26,ADTN
23.74,24.76,23.709999,24.57,24.242695,340200,2021-08-27,ADTN
22.98,22.98,20.389999,20.51,20.236782,2670800,2021-08-30,ADTN
20.52,21.389999,20.299999,20.66,20.384783,1559200,2021-08-31,ADTN
20.790001,21.18,20.25,20.709999,20.434114,786400,2021-09-01,ADTN
20.879999,20.879999,20.35,20.719999,20.443981,611600,2021-09-02,ADTN
20.700001,20.85,20.379999,20.549999,20.276247,312600,2021-09-03,ADTN
20.42,20.530001,19.959999,20.08,19.812508,327900,2021-09-07,ADTN
20.0,20.1,19.76,20.0,19.733574,364400,2021-09-08,ADTN
20.030001,20.450001,19.799999,20.139999,19.871707999999998,265900,2021-09-09,ADTN
20.139999,20.15,19.559999,19.6,19.338902,220900,2021-09-10,ADTN
19.799999,19.809999,19.360001,19.719999,19.457304,242000,2021-09-13,ADTN
19.709999,19.85,19.040001,19.35,19.092232,404200,2021-09-14,ADTN
19.309999,19.540001,18.91,19.530001,19.269836,324600,2021-09-15,ADTN
19.389999,19.549999,19.17,19.440001,19.181036,201400,2021-09-16,ADTN
19.34,19.5,18.790001,19.049999,18.79623,950800,2021-09-17,ADTN
18.68,18.959999,18.34,18.940001,18.687695,360600,2021-09-20,ADTN
18.969999,19.129999,18.6,18.67,18.421291,264800,2021-09-21,ADTN
18.75,19.27,18.709999,19.02,18.766628,198200,2021-09-22,ADTN
19.16,19.719999,19.16,19.52,19.259968,207400,2021-09-23,ADTN
19.299999,19.68,19.120001,19.540001,19.279701,266600,2021-09-24,ADTN
19.48,19.889999,19.459999,19.610001,19.348770000000002,274400,2021-09-27,ADTN
19.4,19.450001,18.52,18.549999,18.302891,492200,2021-09-28,ADTN
18.66,18.73,18.309999,18.42,18.174622,487600,2021-09-29,ADTN
18.52,18.84,18.25,18.76,18.510094,359800,2021-09-30,ADTN
