Open,High,Low,Close,Adj Close,Volume,Date,company
13.25,13.42,12.86,13.35,12.726735,330700,2021-07-06,AHH
13.25,13.94,13.07,13.46,12.831598,557500,2021-07-07,AHH
13.09,13.38,12.96,13.07,12.459805,354000,2021-07-08,AHH
13.25,13.55,13.23,13.52,12.888798,267400,2021-07-09,AHH
13.53,13.67,13.47,13.67,13.031795,160500,2021-07-12,AHH
13.59,13.6,13.29,13.34,12.717201,159400,2021-07-13,AHH
13.33,13.42,13.2,13.34,12.717201,161700,2021-07-14,AHH
13.28,13.5,13.18,13.5,12.869731999999999,176000,2021-07-15,AHH
13.59,13.59,13.27,13.31,12.688602,344000,2021-07-16,AHH
13.26,13.26,12.65,12.8,12.202413,310000,2021-07-19,AHH
12.83,13.4,12.77,13.24,12.621869,221800,2021-07-20,AHH
13.4,13.51,13.28,13.33,12.707667,128400,2021-07-21,AHH
13.25,13.25,12.9,12.93,12.326343,121500,2021-07-22,AHH
13.17,13.23,13.06,13.17,12.555137,103800,2021-07-23,AHH
13.28,13.41,13.21,13.29,12.669537,120600,2021-07-26,AHH
13.19,13.37,13.0,13.25,12.631403,199200,2021-07-27,AHH
13.32,13.35,12.93,13.05,12.44074,163200,2021-07-28,AHH
13.16,13.28,13.01,13.16,12.545605,284800,2021-07-29,AHH
13.12,13.4,13.0,13.0,12.393075,248100,2021-07-30,AHH
13.23,13.5,12.88,12.92,12.31681,184000,2021-08-02,AHH
13.08,13.25,12.81,13.04,12.431207,256900,2021-08-03,AHH
12.83,13.09,12.72,12.78,12.183345,209100,2021-08-04,AHH
12.84,13.15,12.75,13.13,12.517006,174100,2021-08-05,AHH
13.13,13.27,12.97,13.2,12.583736,176600,2021-08-06,AHH
13.19,13.19,13.0,13.04,12.431207,86400,2021-08-09,AHH
13.06,13.3,12.92,13.05,12.44074,144400,2021-08-10,AHH
13.04,13.18,12.94,13.17,12.555137,114500,2021-08-11,AHH
13.16,13.2,13.01,13.15,12.536071,206900,2021-08-12,AHH
13.17,13.5,13.08,13.5,12.869731999999999,200400,2021-08-13,AHH
13.37,13.49,13.08,13.15,12.536071,197300,2021-08-16,AHH
13.02,13.1,12.84,12.94,12.335876,195000,2021-08-17,AHH
13.02,13.13,12.93,12.98,12.374008,180400,2021-08-18,AHH
12.8,12.97,12.7,12.84,12.240544,137500,2021-08-19,AHH
12.81,13.11,12.7,13.03,12.421674,148700,2021-08-20,AHH
13.13,13.18,12.94,13.07,12.459805,114300,2021-08-23,AHH
13.06,13.15,12.93,12.99,12.383541,133600,2021-08-24,AHH
13.1,13.21,12.96,13.07,12.459805,153700,2021-08-25,AHH
13.1,13.12,12.93,13.0,12.393075,136200,2021-08-26,AHH
13.04,13.42,13.04,13.38,12.755334,210800,2021-08-27,AHH
13.47,13.5,13.2,13.37,12.7458,123100,2021-08-30,AHH
13.32,13.48,13.26,13.43,12.802999,308100,2021-08-31,AHH
13.47,13.55,13.39,13.41,12.783934,249800,2021-09-01,AHH
13.5,13.6,13.41,13.5,12.869731999999999,180600,2021-09-02,AHH
13.48,13.67,13.33,13.65,13.012728,173400,2021-09-03,AHH
