Open,High,Low,Close,Adj Close,Volume,Date,company
88.860001,88.870003,85.220001,87.110001,86.256706,91800,2021-07-06,AIN
86.550003,88.400002,86.040001,88.099998,87.237007,82900,2021-07-07,AIN
86.040001,88.040001,85.629997,86.650002,85.801208,70500,2021-07-08,AIN
88.0,89.07,86.269997,88.559998,87.692505,53800,2021-07-09,AIN
87.279999,88.040001,86.800003,87.889999,87.02906,63600,2021-07-12,AIN
87.290001,88.489998,85.449997,85.510002,84.672379,139900,2021-07-13,AIN
86.209999,86.5,83.809998,84.120003,83.295998,95000,2021-07-14,AIN
83.839996,84.620003,82.709999,83.199997,82.385002,93300,2021-07-15,AIN
84.190002,84.190002,81.970001,82.010002,81.206665,87700,2021-07-16,AIN
80.120003,80.559998,78.239998,78.949997,78.176636,151000,2021-07-19,AIN
79.349998,83.279999,78.480003,81.790001,80.988823,154500,2021-07-20,AIN
82.800003,84.25,82.730003,83.32,82.50383,86900,2021-07-21,AIN
82.82,83.07,80.790001,81.169998,80.374893,54000,2021-07-22,AIN
81.510002,82.699997,80.360001,81.650002,80.850197,46000,2021-07-23,AIN
82.720001,83.040001,81.190002,81.699997,80.899696,88500,2021-07-26,AIN
86.0,88.400002,84.519997,85.68,84.840714,167400,2021-07-27,AIN
85.690002,85.919998,83.57,84.160004,83.335602,80600,2021-07-28,AIN
85.459999,86.830002,84.879997,85.629997,84.791199,76300,2021-07-29,AIN
86.980003,87.860001,85.209999,86.349998,85.50415,90700,2021-07-30,AIN
87.0,87.839996,84.650002,85.07,84.236687,73000,2021-08-02,AIN
85.480003,86.330002,83.779999,85.629997,84.791199,134000,2021-08-03,AIN
84.339996,85.220001,82.440002,82.459999,81.652252,53700,2021-08-04,AIN
82.769997,84.160004,81.360001,83.25,82.434525,65900,2021-08-05,AIN
76.260002,79.389999,76.040001,77.120003,76.364571,557100,2021-08-06,AIN
77.120003,77.75,75.970001,76.190002,75.44368,159900,2021-08-09,AIN
76.529999,77.75,75.540001,77.699997,76.938889,166000,2021-08-10,AIN
77.129997,78.25,76.580002,78.099998,77.334969,115900,2021-08-11,AIN
77.800003,78.419998,77.290001,77.57,76.81015,191500,2021-08-12,AIN
77.919998,77.989998,76.989998,77.160004,76.404175,76000,2021-08-13,AIN
76.449997,77.519997,76.0,76.519997,75.770439,112400,2021-08-16,AIN
75.580002,76.809998,74.169998,75.129997,74.394058,175800,2021-08-17,AIN
74.800003,75.790001,74.220001,75.360001,74.621803,206100,2021-08-18,AIN
74.309998,75.459999,74.190002,75.25,74.512886,210400,2021-08-19,AIN
75.519997,76.870003,75.169998,76.800003,76.047699,104100,2021-08-20,AIN
77.360001,77.760002,77.07,77.349998,76.5923,185800,2021-08-23,AIN
77.599998,77.959999,77.07,77.540001,76.780449,122300,2021-08-24,AIN
77.300003,79.139999,77.300003,78.610001,77.839981,131300,2021-08-25,AIN
78.300003,79.029999,77.339996,77.349998,76.5923,124200,2021-08-26,AIN
77.419998,79.900002,77.419998,79.599998,78.820274,137800,2021-08-27,AIN
79.699997,79.800003,77.959999,78.169998,77.404274,102800,2021-08-30,AIN
78.239998,79.239998,77.650002,78.330002,77.562706,86500,2021-08-31,AIN
78.309998,78.309998,77.080002,77.669998,76.90918,65200,2021-09-01,AIN
77.93,78.82,77.010002,78.220001,77.453781,77900,2021-09-02,AIN
77.839996,77.93,76.949997,77.419998,76.858139,103100,2021-09-03,AIN
77.309998,79.830002,77.260002,79.169998,78.595444,153700,2021-09-07,AIN
78.919998,79.169998,77.849998,78.32,77.75161,86300,2021-09-08,AIN
78.07,79.050003,77.489998,78.260002,77.692055,143500,2021-09-09,AIN
79.059998,79.059998,77.0,77.059998,76.500755,120700,2021-09-10,AIN
77.940002,78.940002,76.989998,78.93,78.357193,86300,2021-09-13,AIN
79.599998,79.790001,77.379997,77.879997,77.314804,112700,2021-09-14,AIN
77.709999,78.669998,77.110001,78.510002,77.940239,136900,2021-09-15,AIN
79.099998,79.099998,76.440002,76.550003,75.994461,116400,2021-09-16,AIN
76.949997,78.279999,76.230003,77.669998,77.106323,352600,2021-09-17,AIN
76.129997,77.699997,75.669998,77.099998,76.540466,105500,2021-09-20,AIN
77.959999,77.959999,74.769997,75.160004,74.614555,145400,2021-09-21,AIN
75.980003,77.779999,75.050003,76.589996,76.034164,111000,2021-09-22,AIN
77.139999,79.010002,76.57,78.559998,77.989868,103900,2021-09-23,AIN
78.279999,79.379997,77.720001,78.349998,77.781395,114900,2021-09-24,AIN
78.580002,80.360001,78.580002,79.620003,79.042183,103900,2021-09-27,AIN
79.809998,79.809998,77.050003,77.370003,76.808517,121100,2021-09-28,AIN
78.139999,78.889999,77.339996,78.660004,78.089149,85300,2021-09-29,AIN
79.419998,79.419998,76.779999,76.870003,76.312134,62600,2021-09-30,AIN
77.470001,80.019997,77.040001,79.309998,78.734421,120200,2021-10-01,AIN
79.639999,80.239998,78.720001,79.720001,79.141457,102700,2021-10-04,AIN
80.230003,81.230003,78.690002,80.43,79.846298,79300,2021-10-05,AIN
79.559998,80.620003,77.699997,79.68,79.101738,81600,2021-10-06,AIN
80.470001,81.989998,80.419998,81.510002,80.918465,84300,2021-10-07,AIN
81.379997,81.720001,80.650002,81.190002,80.600792,38600,2021-10-08,AIN
81.269997,81.709999,79.779999,79.879997,79.300285,53200,2021-10-11,AIN
80.120003,81.199997,79.849998,80.75,80.163979,50000,2021-10-12,AIN
80.57,80.739998,79.510002,80.5,79.915787,58300,2021-10-13,AIN
81.470001,82.230003,81.360001,81.760002,81.166649,75600,2021-10-14,AIN
82.860001,82.860001,80.239998,80.279999,79.697388,99100,2021-10-15,AIN
79.82,81.169998,79.510002,80.400002,79.816528,82400,2021-10-18,AIN
80.910004,80.910004,79.639999,80.529999,79.945572,52600,2021-10-19,AIN
80.529999,81.620003,79.599998,81.480003,80.88868,45000,2021-10-20,AIN
81.550003,81.919998,81.029999,81.739998,81.146797,100600,2021-10-21,AIN
81.870003,82.699997,80.739998,81.129997,80.541222,72900,2021-10-22,AIN
80.93,81.550003,80.5,81.269997,80.680206,83400,2021-10-25,AIN
82.580002,86.099998,82.370003,82.599998,82.000549,192400,2021-10-26,AIN
82.339996,83.050003,79.339996,79.360001,78.784065,99100,2021-10-27,AIN
80.150002,80.940002,79.870003,80.080002,79.49884,80400,2021-10-28,AIN
80.279999,80.889999,79.889999,80.650002,80.064705,116200,2021-10-29,AIN
80.910004,84.519997,80.910004,83.0,82.397652,153000,2021-11-01,AIN
82.82,82.970001,80.940002,81.470001,80.878761,81400,2021-11-02,AIN
80.910004,82.980003,80.519997,82.470001,81.871498,111000,2021-11-03,AIN
82.75,83.870003,82.669998,83.870003,83.261345,104600,2021-11-04,AIN
85.029999,88.599998,85.029999,88.269997,87.629402,134000,2021-11-05,AIN
89.209999,89.230003,87.889999,88.550003,87.907379,90500,2021-11-08,AIN
88.599998,88.599998,87.019997,87.760002,87.1231,99500,2021-11-09,AIN
87.709999,88.629997,87.220001,88.239998,87.599617,78800,2021-11-10,AIN
88.129997,88.82,87.580002,88.029999,87.391136,95500,2021-11-11,AIN
88.720001,88.730003,87.529999,88.029999,87.391136,75800,2021-11-12,AIN
88.809998,89.0,87.839996,88.080002,87.440788,129900,2021-11-15,AIN
87.779999,89.040001,87.43,87.690002,87.053619,106200,2021-11-16,AIN
87.599998,88.400002,86.559998,87.029999,86.398399,131900,2021-11-17,AIN
86.900002,87.75,85.790001,87.559998,86.924545,109300,2021-11-18,AIN
86.860001,87.540001,85.720001,86.839996,86.20977,96900,2021-11-19,AIN
87.059998,88.400002,85.900002,87.209999,86.577095,148500,2021-11-22,AIN
87.589996,88.639999,87.510002,87.669998,87.033752,105000,2021-11-23,AIN
87.330002,88.25,86.610001,87.75,87.113174,70800,2021-11-24,AIN
84.980003,85.410004,81.870003,82.68,82.079971,77600,2021-11-26,AIN
83.739998,83.739998,81.849998,82.209999,81.61338,116900,2021-11-29,AIN
81.330002,82.260002,80.660004,80.93,80.342674,147500,2021-11-30,AIN
83.120003,83.120003,79.419998,79.43,78.853554,93600,2021-12-01,AIN
80.190002,83.849998,79.980003,83.550003,82.943657,154700,2021-12-02,AIN
84.0,84.0,81.790001,82.800003,82.199104,124100,2021-12-03,AIN
84.160004,86.239998,84.160004,84.440002,83.827194,132500,2021-12-06,AIN
85.32,86.690002,85.32,86.519997,85.892105,140300,2021-12-07,AIN
86.5,87.449997,86.160004,86.669998,86.041016,78100,2021-12-08,AIN
85.699997,86.830002,85.519997,86.410004,85.782906,204300,2021-12-09,AIN
87.07,87.699997,86.349998,87.18,86.547318,68500,2021-12-10,AIN
86.480003,87.260002,84.779999,85.470001,84.849724,104700,2021-12-13,AIN
85.139999,86.730003,84.419998,84.800003,84.184586,150300,2021-12-14,AIN
84.419998,86.419998,83.209999,86.199997,85.574425,190600,2021-12-15,AIN
86.709999,87.099998,83.32,83.360001,82.755035,131000,2021-12-16,AIN
82.739998,84.709999,82.089996,83.150002,82.546555,358900,2021-12-17,AIN
82.239998,84.0,81.0,83.550003,82.943657,296700,2021-12-20,AIN
84.339996,88.199997,84.339996,88.029999,87.391136,359100,2021-12-21,AIN
87.839996,90.440002,87.669998,88.43,87.788239,369700,2021-12-22,AIN
88.650002,89.230003,87.900002,88.529999,87.88752,135200,2021-12-23,AIN
88.089996,89.690002,87.809998,89.410004,88.972183,136000,2021-12-27,AIN
89.019997,90.699997,89.019997,89.919998,89.479683,250900,2021-12-28,AIN
90.089996,90.260002,88.57,89.139999,88.703499,96300,2021-12-29,AIN
89.220001,90.209999,87.610001,87.699997,87.270554,85700,2021-12-30,AIN
87.470001,89.010002,87.470001,88.449997,88.016876,67700,2021-12-31,AIN
89.389999,90.260002,88.68,89.489998,89.051788,89100,2022-01-03,AIN
90.0,90.489998,89.160004,89.379997,88.942322,116100,2022-01-04,AIN
89.910004,90.010002,87.349998,87.580002,87.151146,134800,2022-01-05,AIN
88.169998,89.089996,87.559998,88.489998,88.056679,103500,2022-01-06,AIN
89.519997,91.529999,89.139999,89.379997,88.942322,186900,2022-01-07,AIN
88.989998,89.279999,87.629997,89.18,88.743301,123200,2022-01-10,AIN
89.269997,89.269997,87.480003,87.660004,87.230751,128400,2022-01-11,AIN
88.389999,88.900002,86.910004,87.330002,86.902374,111800,2022-01-12,AIN
87.209999,89.610001,87.209999,88.419998,87.987022,65900,2022-01-13,AIN
87.75,88.940002,86.860001,88.900002,88.464676,156000,2022-01-14,AIN
88.089996,88.82,86.370003,86.790001,86.365013,101400,2022-01-18,AIN
86.68,87.360001,85.089996,85.360001,84.942009,91200,2022-01-19,AIN
85.449997,87.269997,83.900002,84.209999,83.797646,194400,2022-01-20,AIN
84.230003,85.900002,82.940002,83.379997,82.97171,226100,2022-01-21,AIN
82.059998,85.110001,80.900002,84.459999,84.046417,223500,2022-01-24,AIN
83.459999,84.089996,80.910004,83.370003,82.961761,145400,2022-01-25,AIN
84.550003,86.32,81.18,82.110001,81.707924,166600,2022-01-26,AIN
82.620003,83.510002,80.480003,80.839996,80.444138,96200,2022-01-27,AIN
80.790001,81.779999,78.699997,81.669998,81.270073,212200,2022-01-28,AIN
80.809998,83.709999,80.470001,83.709999,83.300087,124800,2022-01-31,AIN
83.239998,85.010002,82.910004,84.970001,84.553925,185700,2022-02-01,AIN
84.540001,85.660004,83.480003,85.059998,84.643478,227200,2022-02-02,AIN
84.339996,85.699997,84.18,84.419998,84.006615,181300,2022-02-03,AIN
83.790001,85.349998,82.510002,84.860001,84.444458,135600,2022-02-04,AIN
84.480003,86.239998,83.900002,85.639999,85.220642,164400,2022-02-07,AIN
86.059998,87.629997,86.050003,87.519997,87.091438,153400,2022-02-08,AIN
88.0,88.730003,87.989998,88.489998,88.056679,104000,2022-02-09,AIN
86.910004,88.980003,86.910004,87.93,87.499428,185700,2022-02-10,AIN
88.209999,88.57,86.82,87.870003,87.43972,124000,2022-02-11,AIN
87.959999,88.980003,87.370003,88.660004,88.225861,170300,2022-02-14,AIN
88.879997,91.25,88.879997,91.25,90.803169,171900,2022-02-15,AIN
86.489998,90.349998,84.860001,89.169998,88.733353,330700,2022-02-16,AIN
88.019997,89.129997,87.150002,88.5,88.066635,128500,2022-02-17,AIN
87.959999,89.519997,87.809998,88.589996,88.156197,136700,2022-02-18,AIN
86.379997,87.0,84.919998,85.529999,85.111183,186300,2022-02-22,AIN
86.389999,86.389999,84.400002,84.690002,84.275291,114300,2022-02-23,AIN
82.93,85.309998,82.540001,84.989998,84.573822,161500,2022-02-24,AIN
85.449997,86.650002,84.440002,86.0,85.578873,200700,2022-02-25,AIN
85.519997,87.940002,84.769997,87.82,87.389969,207900,2022-02-28,AIN
87.599998,87.699997,81.839996,83.349998,82.941849,215200,2022-03-01,AIN
84.32,87.190002,84.32,86.779999,86.355057,170200,2022-03-02,AIN
86.82,86.910004,85.269997,86.309998,85.88736,104800,2022-03-03,AIN
85.040001,85.900002,84.239998,85.43,85.011665,169400,2022-03-04,AIN
85.57,86.230003,82.970001,83.379997,82.97171,245200,2022-03-07,AIN
83.940002,85.32,82.709999,82.800003,82.394554,164100,2022-03-08,AIN
84.589996,84.949997,83.470001,83.980003,83.568771,215000,2022-03-09,AIN
82.57,83.620003,81.910004,83.260002,82.852295,90800,2022-03-10,AIN
83.699997,84.669998,83.639999,84.089996,83.678223,117200,2022-03-11,AIN
84.519997,85.470001,83.57,85.040001,84.623573,145100,2022-03-14,AIN
85.709999,86.010002,84.07,85.349998,84.93206,108900,2022-03-15,AIN
86.330002,87.419998,85.230003,86.870003,86.444626,100200,2022-03-16,AIN
85.989998,87.510002,85.989998,86.970001,86.544128,82000,2022-03-17,AIN
86.519997,87.089996,85.239998,86.989998,86.773552,240500,2022-03-18,AIN
86.440002,87.599998,85.889999,86.68,86.464325,141100,2022-03-21,AIN
87.470001,88.209999,86.25,86.75,86.534157,155900,2022-03-22,AIN
85.889999,86.410004,84.800003,85.010002,84.798485,178400,2022-03-23,AIN
85.699997,86.410004,84.389999,86.410004,86.195007,190500,2022-03-24,AIN
86.040001,87.800003,86.040001,87.470001,87.252365,142400,2022-03-25,AIN
86.949997,86.949997,84.709999,85.32,85.107712,134100,2022-03-28,AIN
86.349998,87.910004,85.779999,86.0,85.786018,223600,2022-03-29,AIN
85.940002,86.669998,85.089996,85.25,85.037888,133800,2022-03-30,AIN
84.910004,85.910004,83.620003,84.32,84.110199,167000,2022-03-31,AIN
84.989998,85.82,83.830002,85.809998,85.596489,201200,2022-04-01,AIN
85.889999,85.910004,83.82,85.809998,85.596489,165300,2022-04-04,AIN
85.650002,85.849998,82.68,82.779999,82.574028,176300,2022-04-05,AIN
82.050003,82.940002,81.580002,82.190002,81.985504,195200,2022-04-06,AIN
82.470001,82.57,81.620003,82.099998,81.895721,189500,2022-04-07,AIN
82.110001,82.610001,80.550003,80.699997,80.499207,217000,2022-04-08,AIN
80.900002,82.699997,80.57,80.730003,80.529137,159600,2022-04-11,AIN
81.169998,82.730003,81.169998,81.370003,81.167542,162500,2022-04-12,AIN
81.519997,82.410004,81.519997,81.980003,81.776024,152300,2022-04-13,AIN
82.349998,82.889999,81.559998,81.75,81.546593,148000,2022-04-14,AIN
81.370003,83.150002,81.239998,82.519997,82.314674,221800,2022-04-18,AIN
82.910004,84.959999,82.910004,84.589996,84.379524,165000,2022-04-19,AIN
85.410004,86.07,84.150002,84.529999,84.319679,216900,2022-04-20,AIN
85.5,86.029999,84.610001,84.779999,84.569054,219600,2022-04-21,AIN
84.050003,84.389999,82.75,83.110001,82.903214,181900,2022-04-22,AIN
83.269997,83.529999,81.330002,83.330002,83.122665,234300,2022-04-25,AIN
80.0,81.489998,76.629997,76.690002,76.499184,416300,2022-04-26,AIN
76.029999,77.470001,75.470001,76.419998,76.229858,253200,2022-04-27,AIN
77.389999,80.389999,76.849998,80.349998,80.150078,194200,2022-04-28,AIN
79.919998,80.93,77.910004,78.220001,78.025383,166600,2022-04-29,AIN
77.82,79.400002,76.690002,78.389999,78.194954,152000,2022-05-02,AIN
78.029999,80.18,78.029999,79.480003,79.282249,132800,2022-05-03,AIN
79.660004,82.519997,79.629997,82.389999,82.185005,177100,2022-05-04,AIN
81.419998,81.709999,78.379997,79.440002,79.242348,139200,2022-05-05,AIN
79.279999,79.790001,77.940002,79.019997,78.823387,122700,2022-05-06,AIN
78.370003,79.550003,77.720001,78.589996,78.394455,219000,2022-05-09,AIN
79.459999,79.699997,77.190002,78.720001,78.524132,164700,2022-05-10,AIN
79.089996,81.239998,77.959999,78.82,78.623886,191000,2022-05-11,AIN
78.860001,79.5,77.360001,79.239998,79.042839,163400,2022-05-12,AIN
79.760002,82.25,79.760002,81.760002,81.556572,223100,2022-05-13,AIN
81.059998,83.410004,80.410004,82.029999,81.825897,143400,2022-05-16,AIN
83.370003,84.709999,82.839996,84.639999,84.429405,114000,2022-05-17,AIN
83.470001,85.040001,83.279999,84.07,83.860825,210700,2022-05-18,AIN
83.440002,84.559998,82.309998,82.82,82.61393,198100,2022-05-19,AIN
83.459999,83.459999,80.089996,81.769997,81.566544,138200,2022-05-20,AIN
82.900002,83.82,82.269997,82.980003,82.773537,192900,2022-05-23,AIN
82.459999,82.459999,80.529999,81.639999,81.436867,163200,2022-05-24,AIN
81.800003,82.669998,81.220001,82.150002,81.945602,116500,2022-05-25,AIN
83.089996,84.449997,82.970001,83.910004,83.701225,148600,2022-05-26,AIN
84.459999,86.300003,84.459999,86.160004,85.945625,98200,2022-05-27,AIN
84.830002,85.330002,84.0,84.400002,84.190002,129900,2022-05-31,AIN
85.190002,85.190002,82.900002,83.809998,83.601463,128400,2022-06-01,AIN
84.339996,85.709999,84.0,85.699997,85.486763,168100,2022-06-02,AIN
84.949997,85.360001,83.870003,84.400002,84.190002,80200,2022-06-03,AIN
85.120003,86.550003,84.32,86.379997,86.379997,103700,2022-06-06,AIN
85.699997,88.089996,85.57,87.910004,87.910004,89600,2022-06-07,AIN
87.059998,87.059998,84.800003,85.739998,85.739998,101200,2022-06-08,AIN
85.389999,85.690002,84.370003,84.540001,84.540001,70900,2022-06-09,AIN
83.010002,83.470001,81.419998,81.620003,81.620003,91100,2022-06-10,AIN
79.849998,80.290001,78.209999,78.889999,78.889999,145300,2022-06-13,AIN
78.910004,79.900002,78.410004,79.239998,79.239998,109500,2022-06-14,AIN
80.0,81.07,78.82,79.93,79.93,164500,2022-06-15,AIN
